Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
704          0.586711             0.561754                  0.024958 
705          0.586828             0.561626                  0.025202 
706          0.594467             0.561405                  0.033062 
707          0.589061             0.561927                  0.027134 
708          0.594394             0.562290                  0.032104 
709          0.593383             0.562166                  0.031217 
710          0.595994             0.561530                  0.034464 
711          0.590072             0.561839                  0.028233 
712          0.591628             0.562086                  0.029542 
713          0.595200             0.562299                  0.032901 
714          0.596183             0.562569                  0.033615 
715          0.592272             0.562457                  0.029815 
716          0.597489             0.562814                  0.034675 
717          0.595956             0.563546                  0.032410 
718          0.595017             0.563551                  0.031466 
719          0.590678             0.563500                  0.027178 
720          0.595467             0.563715                  0.031751 
721          0.599639             0.563788                  0.035851 
722          0.591022             0.563525                  0.027497 
723          0.592706             0.563672                  0.029033 
724          0.590339             0.563315                  0.027024 
725          0.596694             0.563701                  0.032994 
